Time,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7
1.1125805377960205,19.0,37.5,22.5,23.6,22.1,26.0,21.7,17.5
2.856078624725342,8.8,14.5,13.8,32.2,27.9,14.6,32.0,5.2
4.6144022941589355,10.5,21.8,12.6,4.1,17.4,3.5,2.3,13.8
6.418892860412598,3.9,15.3,6.1,18.4,10.0,8.4,5.6,8.9
8.227158546447754,13.8,24.9,27.8,20.3,12.7,14.5,13.0,27.7
10.067156076431274,16.6,8.7,11.4,13.8,5.5,40.4,6.0,7.7
11.910933494567871,7.1,1.6,14.8,9.4,9.9,8.2,25.4,3.3
13.726511001586914,16.0,17.3,15.2,6.7,23.5,11.2,12.6,10.6
15.587671041488647,8.2,3.8,19.4,10.8,13.0,23.2,4.9,20.9
17.35088539123535,23.6,22.0,19.7,10.8,11.5,25.6,18.4,10.9
19.34605383872986,21.5,16.8,12.1,18.0,19.4,26.4,24.4,12.8
21.092049837112427,11.1,14.4,24.0,14.5,2.9,19.1,13.8,4.1
22.437353134155273,4.5,38.6,31.1,11.2,22.7,32.3,12.0,11.2
23.76876163482666,27.5,23.8,33.8,31.1,28.8,65.6,32.6,34.6
25.2730815410614,23.0,13.5,15.0,7.4,23.0,27.7,11.6,25.9
27.091827154159546,31.5,6.1,15.6,12.1,13.3,29.7,8.9,21.5
29.15921711921692,17.2,19.6,22.9,26.5,35.8,14.1,23.8,25.5
30.92970895767212,10.8,11.9,7.4,11.6,26.0,23.7,20.9,13.1
32.91763114929199,31.6,19.5,32.1,35.9,37.6,39.6,27.7,27.0
34.78301668167114,16.8,15.3,17.9,29.1,24.3,28.8,31.3,13.1
36.74674940109253,22.9,23.2,13.8,17.5,27.2,32.1,21.7,26.6
38.61181640625,35.4,25.4,20.6,33.0,34.7,25.4,33.9,36.3
40.567814350128174,15.5,13.9,6.7,17.3,12.5,26.4,22.8,11.9
42.45721220970154,7.0,8.6,21.5,28.5,10.1,15.6,7.6,11.8
44.32933163642883,15.1,8.7,18.5,25.0,16.3,21.1,19.2,13.1
46.340028524398804,14.1,8.5,18.7,18.8,23.9,17.8,17.5,14.9
