PID,Name,User,CPU Time,Memory [GB],Status
1,systemd,root,0.91,0.01,sleeping
2,kthreadd,root,0.0,0.0,sleeping
3,rcu_gp,root,0.0,0.0,idle
4,rcu_par_gp,root,0.0,0.0,idle
5,slub_flushwq,root,0.0,0.0,idle
6,netns,root,0.0,0.0,idle
8,kworker/0:0H-events_highpri,root,0.0,0.0,idle
10,mm_percpu_wq,root,0.0,0.0,idle
12,rcu_tasks_kthread,root,0.0,0.0,idle
13,rcu_tasks_rude_kthread,root,0.0,0.0,idle
14,rcu_tasks_trace_kthread,root,0.0,0.0,idle
15,ksoftirqd/0,root,0.0,0.0,sleeping
16,rcu_preempt,root,0.0,0.0,idle
17,migration/0,root,0.0,0.0,sleeping
19,cpuhp/0,root,0.0,0.0,sleeping
20,cpuhp/1,root,0.0,0.0,sleeping
21,migration/1,root,0.0,0.0,sleeping
22,ksoftirqd/1,root,0.0,0.0,sleeping
24,kworker/1:0H-events_highpri,root,0.0,0.0,idle
25,cpuhp/2,root,0.0,0.0,sleeping
26,migration/2,root,0.0,0.0,sleeping
27,ksoftirqd/2,root,0.0,0.0,sleeping
29,kworker/2:0H-events_highpri,root,0.0,0.0,idle
30,cpuhp/3,root,0.0,0.0,sleeping
31,migration/3,root,0.0,0.0,sleeping
32,ksoftirqd/3,root,0.0,0.0,sleeping
34,kworker/3:0H-events_highpri,root,0.0,0.0,idle
35,cpuhp/4,root,0.0,0.0,sleeping
36,migration/4,root,0.0,0.0,sleeping
37,ksoftirqd/4,root,0.01,0.0,sleeping
39,kworker/4:0H-events_highpri,root,0.0,0.0,idle
40,cpuhp/5,root,0.0,0.0,sleeping
41,migration/5,root,0.0,0.0,sleeping
42,ksoftirqd/5,root,0.01,0.0,sleeping
44,kworker/5:0H-events_highpri,root,0.0,0.0,idle
45,cpuhp/6,root,0.0,0.0,sleeping
46,migration/6,root,0.0,0.0,sleeping
47,ksoftirqd/6,root,0.0,0.0,sleeping
49,kworker/6:0H-events_highpri,root,0.0,0.0,idle
50,cpuhp/7,root,0.0,0.0,sleeping
51,migration/7,root,0.0,0.0,sleeping
52,ksoftirqd/7,root,0.0,0.0,sleeping
54,kworker/7:0H-events_highpri,root,0.0,0.0,idle
55,kdevtmpfs,root,0.0,0.0,sleeping
56,inet_frag_wq,root,0.0,0.0,idle
57,kauditd,root,0.0,0.0,sleeping
59,oom_reaper,root,0.0,0.0,sleeping
60,writeback,root,0.0,0.0,idle
61,kcompactd0,root,0.08,0.0,sleeping
62,ksmd,root,0.0,0.0,sleeping
64,khugepaged,root,0.0,0.0,sleeping
65,cryptd,root,0.0,0.0,idle
66,kintegrityd,root,0.0,0.0,idle
67,kblockd,root,0.0,0.0,idle
68,blkcg_punt_bio,root,0.0,0.0,idle
69,tpm_dev_wq,root,0.0,0.0,idle
70,ata_sff,root,0.0,0.0,idle
71,md,root,0.0,0.0,idle
72,edac-poller,root,0.0,0.0,idle
73,watchdogd,root,0.0,0.0,sleeping
74,kworker/5:1H-events_highpri,root,0.0,0.0,idle
75,kswapd0,root,0.0,0.0,sleeping
84,kthrotld,root,0.0,0.0,idle
92,irq/123-pciehp,root,0.0,0.0,sleeping
93,acpi_thermal_pm,root,0.0,0.0,idle
94,xenbus_probe,root,0.0,0.0,sleeping
95,hwrng,root,0.0,0.0,sleeping
99,dm_bufio_cache,root,0.0,0.0,idle
100,mld,root,0.0,0.0,idle
101,kworker/1:1H-events_highpri,root,0.0,0.0,idle
102,ipv6_addrconf,root,0.0,0.0,idle
107,kstrp,root,0.0,0.0,idle
115,zswap-shrink,root,0.0,0.0,idle
224,kworker/6:1H-events_highpri,root,0.0,0.0,idle
262,kworker/0:1H-events_highpri,root,0.0,0.0,idle
265,kworker/3:1H-events_highpri,root,0.0,0.0,idle
273,kworker/7:1H-events_highpri,root,0.0,0.0,idle
275,kworker/4:1H-events_highpri,root,0.0,0.0,idle
276,kmpathd,root,0.0,0.0,idle
277,kmpath_handlerd,root,0.0,0.0,idle
280,kaluad,root,0.0,0.0,idle
281,kmpath_rdacd,root,0.0,0.0,idle
284,kworker/2:1H-events_highpri,root,0.0,0.0,idle
428,irq/57-ELAN1300:00,root,0.0,0.0,sleeping
452,spi0,root,0.0,0.0,sleeping
454,USBC000:00-con1,root,0.0,0.0,idle
455,nvme-wq,root,0.0,0.0,idle
456,nvme-reset-wq,root,0.0,0.0,idle
457,nvme-delete-wq,root,0.0,0.0,idle
458,nvme-auth-wq,root,0.0,0.0,idle
461,card1-crtc0,root,0.0,0.0,sleeping
462,card1-crtc1,root,0.0,0.0,sleeping
463,card1-crtc2,root,0.0,0.0,sleeping
464,card1-crtc3,root,0.0,0.0,sleeping
471,btrfs-worker,root,0.0,0.0,idle
472,btrfs-worker-hi,root,0.0,0.0,idle
473,btrfs-delalloc,root,0.0,0.0,idle
474,btrfs-flush_del,root,0.0,0.0,idle
475,btrfs-cache,root,0.0,0.0,idle
476,btrfs-fixup,root,0.0,0.0,idle
477,btrfs-endio,root,0.0,0.0,idle
478,btrfs-endio-met,root,0.0,0.0,idle
479,btrfs-rmw,root,0.0,0.0,idle
480,btrfs-endio-wri,root,0.0,0.0,idle
481,btrfs-compresse,root,0.0,0.0,idle
482,btrfs-freespace,root,0.0,0.0,idle
483,btrfs-delayed-m,root,0.0,0.0,idle
484,btrfs-qgroup-re,root,0.0,0.0,idle
485,btrfs-cleaner,root,0.0,0.0,sleeping
486,btrfs-transaction,root,0.0,0.0,running
604,systemd-journald,root,0.55,0.04,sleeping
614,systemd-udevd,root,0.09,0.01,sleeping
710,led_workqueue,root,0.0,0.0,idle
727,cfg80211,root,0.0,0.0,idle
