Time,Used Memory,Free Memory,Used Swap,Free Swap
2.211012363433838,5.36,9.45,0.01,8.58
4.397923707962036,5.13,9.64,0.01,8.58
6.409201145172119,5.14,9.7,0.01,8.58
8.045684337615967,4.89,9.97,0.01,8.58
9.9972665309906,4.87,9.97,0.01,8.58
11.923915386199951,4.86,9.98,0.01,8.58
13.754595756530762,4.85,10.0,0.01,8.58
15.588281154632568,4.86,10.0,0.01,8.58
17.02339482307434,4.86,10.0,0.01,8.58
18.588459730148315,4.81,10.04,0.01,8.58
19.77601408958435,4.79,10.06,0.01,8.58
21.02659273147583,4.79,10.06,0.01,8.58
22.756376028060913,4.75,10.12,0.01,8.58
24.354459762573242,4.73,10.12,0.01,8.58
